t,v
12.546,0.0222969
12.563,-0.0165097
12.58,0.00340755
12.597,0.0854749
12.614,0.0424835
12.631,0.0687747
12.648,-0.0228912
12.665,0.0507013
12.682,0.0498494
12.699,0.0114707
12.716,-0.0276068
12.733,-0.0323482
12.75,-0.0208396
12.767,-0.00198832
12.784,0.049967
12.801,0.0291904
12.818,0.0198215
12.835,0.0825168
12.852,0.0956994
12.869,0.0870249
12.886,0.00229555
12.903,-0.098408
12.92,-0.143104
12.937,-0.152122
12.954,-0.184437
12.971,-0.267123
12.988,-0.210944
13.005,-0.179282
13.022,-0.152431
13.039,-0.19125
13.056,-0.189618
13.073,-0.163312
13.09,-0.130697
13.107,-0.231391
13.124,-0.239741
13.141,-0.185836
13.158,-0.221589
13.175,-0.12395
13.192,-0.16661
13.209,-0.152403
13.226,-0.127617
13.243,-0.106462
13.26,-0.158546
13.277,-0.167049
13.294,-0.138415
13.311,-0.191688
13.328,-0.119726
13.345,-0.0202621
13.362,0.0116304
13.379,-0.0436659
13.396,0.00104457
13.413,0.0644255
13.43,0.0443334
13.447,0.0614929
13.464,0.145359
13.481,0.112641
13.498,0.0436742
13.515,0.172789
13.532,0.157303
13.549,0.111673
13.566,0.0366146
13.583,-0.0853993
13.6,-0.105127
13.617,-0.150942
13.634,-0.206401
13.651,-0.211643
13.668,-0.221843
13.685,-0.122768
13.702,-0.138943
13.719,-0.0595577
13.736,-0.0838654
13.753,-0.030229
13.77,-0.0650291
13.787,0.053042
13.804,-0.0233657
13.821,-0.0744362
13.838,-0.0562694
13.855,-0.0241373
13.872,0.000570171
13.889,-0.0103866
13.906,0.0475766
13.923,0.0266345
13.94,-0.0234073
13.957,-0.0571824
13.974,-0.0326404
13.991,0.0475935
14.008,0.0919246
14.025,0.150738
14.042,0.276633
14.059,0.227676
14.076,0.155878
14.093,0.0890088
14.11,0.196674
14.127,0.157591
14.144,0.148975
14.161,0.268361
14.178,0.361824
14.195,0.349812
14.212,0.387903
14.229,0.382972
14.246,0.485598
14.263,0.516724
14.28,0.417626
14.297,0.336518
14.314,0.284901
14.331,0.336595
14.348,0.351472
14.365,0.31207
14.382,0.231321
14.399,0.231264
14.416,0.217982
14.433,0.237354
14.45,0.234873
14.467,0.211397
14.484,0.225605
14.501,0.303651
14.518,0.328354
14.535,0.370855
14.552,0.356608
14.569,0.367009
14.586,0.417711
14.603,0.424149
14.62,0.406625
14.637,0.508873
14.654,0.484476
14.671,0.450385
14.688,0.499673
14.705,0.56551
14.722,0.583649
14.739,0.598812
14.756,0.606372
14.773,0.561389
14.79,0.68053
14.807,0.636648
14.824,0.66502
14.841,0.73049
14.858,0.770211
14.875,0.761244
14.892,0.806861
14.909,0.720266
14.926,0.709611
14.943,0.776207
14.96,0.721286
14.977,0.807755
14.994,0.862696
15.011,0.867997
15.028,0.804863
15.045,0.862429
15.062,0.847667
15.079,0.841779
15.096,0.885037
15.113,0.894889
15.13,0.971457
15.147,0.920222
15.164,0.808401
15.181,0.90507
15.198,0.844607
15.215,0.799019
15.232,0.74707
15.249,0.817793
15.266,0.911356
15.283,0.933082
15.3,0.900267
15.317,0.915418
15.334,0.926016
15.351,0.92794
15.368,0
15.385,0.0258427
15.402,0.040227
15.419,-0.0330596
15.436,-0.0515975
15.453,-0.107715
15.47,-0.142975
15.487,-0.0956722
15.504,-0.186358
15.521,-0.116156
15.538,-0.106794
15.555,-0.0446708
15.572,-0.0298234
15.589,-0.0915034
15.606,-0.0654385
15.623,-0.0107637
15.64,-0.0988992
15.657,-0.0186216
15.674,-0.0263723
15.691,-0.0944543
15.708,-0.069459
15.725,-0.00148433
15.742,-0.0257203
15.759,0.115144
15.776,0.124202
15.793,0.0412789
15.81,0.0411971
15.827,-0.038509
15.844,-0.135502
15.861,-0.124067
15.878,-0.12961
15.895,-0.0448913
15.912,-0.0948484
15.929,-0.134502
15.946,-0.132279
15.963,-0.0842471
15.98,-0.108117
15.997,-0.0660102
16.014,-0.0927476
16.031,-0.0557628
16.048,-0.0106875
16.065,-0.04252
16.082,-0.108887
16.099,0.0357747
16.116,0.035738
16.133,0.0144242
16.15,-0.00215129
16.167,-0.0431711
16.184,-0.061525
16.201,-0.167008
16.218,-0.206374
16.235,-0.197413
16.252,-0.10466
16.269,-0.167002
16.286,-0.135377
16.303,-0.124253
16.32,-0.15504
16.337,-0.143336
16.354,-0.176703
16.371,-0.162803
16.388,-0.205038
16.405,-0.233111
16.422,-0.227379
16.439,-0.17564
16.456,-0.187491
16.473,-0.183928
16.49,-0.141564
16.507,-0.13675
16.524,-0.197437
16.541,-0.191239
16.558,-0.0833414
16.575,-0.00314901
16.592,-0.0422499
16.609,-0.0422291
16.626,-0.0768461
16.643,-0.0265341
16.66,-0.0366973
16.677,0.0175789
16.694,0.0698787
16.711,-0.0603746
16.728,-0.132208
16.745,-0.156774
16.762,-0.102528
16.779,-0.174835
16.796,-0.153544
16.813,-0.177347
16.83,-0.117317
16.847,-0.104439
16.864,-0.101141
16.881,-0.0478541
16.898,-0.0862384
16.915,-0.0797248
16.932,-0.0273488
16.949,-0.0156135
16.966,-0.0111016
16.983,-0.0401178
17,-0.0491109
