0 0
0.951 0.635167 1.72423
0.952 0.635 1.72344
0.953 0.635033 1.72329
0.954 0.635467 1.72418
0.955 0.635467 1.72374
0.956 0.6354 1.7236
0.957 0.635267 1.7231
0.958 0.635333 1.72346
0.959 0.635533 1.72454
0.96 0.635833 1.7256
0.961 0.6354 1.72427
0.962 0.635933 1.72581
0.963 0.6364 1.72677
0.964 0.637467 1.72897
0.965 0.637867 1.72957
0.966 0.6381 1.73005
0.967 0.6379 1.72919
0.968 0.637167 1.72702
0.969 0.6378 1.72832
0.97 0.637567 1.72784
0.971 0.637 1.7269
0.972 0.636933 1.72632
0.973 0.637333 1.72714
0.974 0.6369 1.7258
0.975 0.6363 1.72457
0.976 0.6356 1.72268
0.977 0.635667 1.72326
0.978 0.636 1.72439
0.979 0.635633 1.72364
0.98 0.6358 1.7242
0.981 0.6363 1.72523
0.982 0.636233 1.72487
0.983 0.636067 1.72453
