# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.621,0.976074,-0.0331279
0.622,0.983965,-0.00122095
0.623,0.980327,-0.0252213
0.624,0.974214,-0.0101516
0.625,0.986534,-0.0220663
0.626,0.951428,-0.00142904
0.627,0.973357,-0.0194467
0.628,0.997956,0.00230823
0.629,0.985327,0.00867896
0.63,0.982341,-0.0106886
0.631,0.952716,-0.00987336
0.632,0.987617,0.0116038
0.633,0.96869,-0.00349225
0.634,0.976998,-0.000460892
0.635,0.975151,-0.0198402
0.636,0.991049,-0.0255606
0.637,0.970087,-0.0342485
0.638,1.00355,-0.0222394
0.639,0.964921,-0.0222278
0.64,0.953737,-0.039647
0.641,0.965078,-0.0119205
0.642,0.962209,-0.00994977
0.643,0.971946,-0.00537803
0.644,0.969695,-0.0242212
0.645,0.974567,-0.0115852
0.646,0.963148,-0.0190516
0.647,0.976756,-0.00694534
0.648,0.97013,-0.0501156
0.649,0.998422,-0.0361374
0.65,0.948619,-0.0347976
0.651,0.942655,-0.0225872
0.652,0.978722,-0.0427711
0.653,0.982474,-0.0346078
0.654,0.971234,-0.0028067
0.655,0.99127,-0.00561744
0.656,0.973711,-0.00950051
0.657,0.995238,-0.0299584
0.658,1.00022,-0.0180049
0.659,0.976552,-0.0380857
0.66,0.978506,-0.0393052
0.661,1.00133,-0.0381882
0.662,0.975276,-0.0191878
0.663,0.986442,-0.0515242
0.664,0.991803,-0.0116744
0.665,0.984117,-0.0357924
0.666,0.964219,-0.016866
0.667,0.981118,-0.0264927
0.668,0.978882,-0.0168351
0.669,0.938107,-0.0264838
0.67,0.956362,-0.0173804
0.671,0.953269,-0.0245079
0.672,0.978788,-0.0320604
0.673,1.00305,-0.0479775
0.674,0.980672,-0.0422942
0.675,0.975939,-0.0128498
0.676,0.976875,-0.0268161
0.677,0.974853,-0.0263329
0.678,0.983775,-0.0305552
0.679,0.959705,-0.0387201
0.68,0.963708,-0.0194519
0.681,0.976707,-0.0437064
0.682,0.976125,0.00956781
0.683,1.01214,-0.00877187
0.684,0.982483,-0.0277052
0.685,0.989587,-0.0310139
0.686,0.959324,-0.0345981
0.687,0.983515,-0.0329198
0.688,0.981191,-0.012073
