# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.01
# f_low = 0
# f_high = 500
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.497,44.8371,-191.65
0.498,-59.4606,-79.9259
0.499,97.046,-71.9349
0.5,-16.8789,-75.849
0.501,-145.58,-62.8466
0.502,92.2057,-61.8885
0.503,-93.2778,-62.3205
0.504,59.2808,-77.6373
0.505,-81.6646,14.4003
0.506,-84.0933,-260.845
0.507,-26.5296,-38.8263
0.508,-37.5888,-2.86258
0.509,-205.237,-169.077
0.51,53.0188,-101.778
0.511,-27.3309,-128.715
0.512,-94.8879,-66.1334
0.513,-44.1643,-112.352
0.514,-15.1833,-203.27
0.515,-56.3324,-21.9904
0.516,-9.34328,-51.9648
0.517,-105.124,-36.4817
0.518,-100.806,-98.5074
0.519,-195.858,-62.8851
0.52,-31.4832,-135.91
0.521,-10.7159,154.405
0.522,18.0798,-144.705
0.523,-82.5365,46.4301
0.524,-75.7129,-0.528354
0.525,-137.79,-115.529
0.526,-81.7185,58.3569
0.527,-21.7878,-96.0884
0.528,-41.1626,73.9411
0.529,-185.388,76.5255
0.53,-40.8704,-42.5698
0.531,118.054,7.82354
0.532,12.2003,-14.5803
0.533,-118.564,-106.048
0.534,-97.3651,-152.342
0.535,-160.194,-34.7553
0.536,-60.2338,-21.4067
0.537,-15.3682,17.7746
0.538,-132.397,39.6737
0.539,-223.012,50.6593
0.54,-97.2598,-20.8604
0.541,-119.529,38.41
0.542,-109.801,-180.925
0.543,-21.0009,-60.4087
0.544,0.479453,-132.765
0.545,-57.3398,62.0511
0.546,31.2938,127.397
0.547,11.8689,109.047
0.548,-184.12,-7.50795
0.549,-94.6252,70.8339
0.55,-89.7019,94.996
0.551,30.7509,40.3285
0.552,-101.983,86.8071
0.553,11.3835,-35.1577
0.554,-222.856,151.633
0.555,-125.048,-67.0349
0.556,-30.9246,-18.2286
0.557,-106.2,53.8006
0.558,-48.2222,-9.68951
0.559,110.517,90.6768
0.56,-89.8294,20.3096
0.561,-94.6461,76.593
0.562,-199.815,35.1111
0.563,-118.744,106.701
0.564,-69.2025,71.0194
0.565,-208.382,-22.8632
0.566,-217.804,117.401
0.567,19.7926,180.147
0.568,-48.982,45.4765
0.569,-111.899,30.9753
0.57,-123.775,54.2255
0.571,-164.419,75.884
0.572,-64.4136,-21.8299
0.573,-96.8984,74.9853
0.574,-83.685,139.393
0.575,-96.5421,148.283
0.576,-73.2868,49.4866
0.577,-199.07,81.063
0.578,-96.9709,62.6534
0.579,31.3267,-25.4585
0.58,-117.543,39.6294
0.581,69.6203,121.318
0.582,-110.698,70.7508
0.583,-84.1187,181.566
0.584,-16.9948,-5.1769
0.585,-167.193,108.5
0.586,-34.0826,134.676
0.587,-143.8,295.92
0.588,-65.5914,45.9622
0.589,-123.07,207.704
0.59,28.8152,141.891
0.591,71.6834,10.6957
0.592,-125.475,22.2151
0.593,-8.7057,20.0637
0.594,-156.589,102.489
0.595,63.6237,17.9131
0.596,21.7497,-29.3462
0.597,-15.9668,-53.0251
0.598,-21.054,97.8521
0.599,5.59331,-116.079
0.6,-31.16,58.8145
0.601,-88.0355,3.68554
0.602,-132.206,41.2135
0.603,38.3023,115.596
0.604,-215.798,-2.21285
0.605,-90.7798,107.251
0.606,165.547,-14.8541
0.607,67.5017,91.3728
0.608,25.4241,56.2585
0.609,-121.809,212.875
0.61,-5.31481,207.618
0.611,8.87981,113.572
0.612,98.0424,181.747
0.613,-95.2594,125.334
0.614,-96.5826,158.21
0.615,-94.4444,92.1718
0.616,143.765,108.565
0.617,-32.1503,217.644
0.618,14.5458,71.3468
0.619,129.755,69.8839
0.62,82.8155,71.8158
0.621,187.366,187.557
0.622,133.469,172.665
0.623,-69.8357,9.08263
0.624,102.28,198.646
0.625,96.6432,5.75744
0.626,-55.9464,338.666
0.627,-6.72892,181.917
0.628,-173.224,-18.4759
0.629,36.0879,199.858
0.63,160.816,250.081
0.631,56.7571,24.2704
0.632,-15.5111,160.195
0.633,87.9484,-73.2006
0.634,-58.2214,201.239
0.635,10.3463,78.1737
0.636,122.236,155.351
0.637,101.965,132.053
0.638,145.054,35.4516
0.639,-112.235,-150.729
0.64,48.3538,-75.5467
0.641,-12.6794,91.647
0.642,-50.7847,92.6554
0.643,18.6262,241.23
0.644,89.9502,154.309
0.645,-210.086,50.5338
0.646,207.912,79.8823
0.647,41.6721,-75.3228
0.648,158.397,191.384
0.649,72.4595,62.272
0.65,29.1904,91.7092
0.651,160.634,282.728
0.652,58.738,132.945
0.653,-99.6822,-21.2997
0.654,-63.0619,242.41
0.655,182.926,130.42
0.656,-6.26383,135.191
0.657,-2.5377,144.474
0.658,41.0942,65.855
0.659,179.221,24.2411
0.66,99.6415,-150.433
0.661,135.707,47.7699
0.662,22.3734,19.8911
0.663,182.338,-61.0178
0.664,170.918,-161.227
0.665,-165.6,21.6955
0.666,136.574,118.182
0.667,134.008,21.2332
0.668,164.309,183.514
0.669,-3.05662,-87.5659
0.67,-18.4963,-2.25098
0.671,81.6508,297.025
0.672,-20.4404,-233.603
0.673,-120.249,-123.765
0.674,84.6393,87.7252
0.675,55.6989,-0.418006
0.676,29.6301,133.341
0.677,268.09,-76.776
0.678,180.615,123.755
0.679,68.8276,65.9955
0.68,67.1972,-57.0012
0.681,199.937,126.241
0.682,144.499,80.8931
0.683,-175.22,37.6978
0.684,16.8234,-11.661
0.685,-94.0503,-112.914
0.686,-134.036,-111.622
0.687,112.087,-199.577
0.688,84.1359,-78.9744
0.689,-7.44071,-101.635
0.69,94.2231,-59.8004
0.691,-18.5427,49.0163
0.692,-134.164,198.799
0.693,54.8244,64.8807
0.694,-132.766,-33.5469
0.695,-17.6508,59.7649
0.696,153.487,147.263
0.697,-19.8413,-23.4827
0.698,22.3979,86.8012
0.699,65.8105,-142.719
0.7,170.467,39.9299
0.701,19.5665,-0.137754
0.702,-54.6324,16.1885
0.703,29.8729,58.1004
0.704,8.54964,-4.8133
0.705,34.8227,-34.1915
0.706,136.243,-69.514
0.707,249.113,-4.46797
0.708,-89.1366,-36.4222
0.709,59.9215,-55.7898
0.71,21.9137,-130.724
0.711,11.7356,46.1782
0.712,74.6467,-189.338
0.713,35.0268,66.1132
0.714,52.0484,-204.45
0.715,32.0386,-5.90453
0.716,235.861,5.81726
0.717,54.936,-103.768
0.718,107.583,-126.279
0.719,89.7482,-44.6434
0.72,-48.2972,10.1101
0.721,17.9205,29.1615
0.722,-12.2436,-107.543
0.723,-1.49657,-13.937
0.724,-53.5874,7.40473
0.725,-51.3208,-117.657
0.726,-69.0159,65.1095
0.727,-103.679,3.41679
0.728,55.2556,2.39644
0.729,-86.1204,3.51654
0.73,41.6092,191.968
0.731,31.8207,-98.885
0.732,41.8422,110.031
0.733,109.681,-32.434
0.734,-29.9713,66.4406
0.735,207.864,-89.1227
0.736,-14.8961,115.133
0.737,8.3995,-77.7967
0.738,119.372,-179.244
0.739,-0.769747,21.4435
0.74,-123.555,18.8472
0.741,128.744,92.0479
0.742,-0.671983,58.4164
0.743,59.5549,-107.582
0.744,-26.5803,152.093
0.745,22.5717,134.431
0.746,-75.5169,-192.474
0.747,-13.6594,-122.184
0.748,40.1959,-16.6975
0.749,-23.6527,-121.731
0.75,-124.703,-57.2646
0.751,78.4328,-39.7291
0.752,-119.675,-48.9371
0.753,49.9796,-18.6193
0.754,-29.007,-157.379
0.755,-8.29256,-75.2145
0.756,-96.5577,125.086
0.757,12.8756,-39.813
0.758,137.718,-25.2028
0.759,152.117,-223.721
0.76,-116.059,-35.6101
0.761,38.2858,68.4939
0.762,102.338,-39.7267
0.763,22.2195,114.742
0.764,-30.8499,31.4172
0.765,-91.8498,-87.6786
0.766,45.6909,2.27134
0.767,51.4543,-14.2014
0.768,-134.517,33.1559
0.769,-166.629,-57.6204
0.77,38.0245,-1.41869
0.771,-19.6417,58.701
0.772,-117.616,30.6602
0.773,95.8555,10.9833
0.774,-111.785,-21.0688
0.775,-33.3112,-44.8959
0.776,-8.81888,33.0317
0.777,55.7704,75.6763
0.778,53.1696,-50.0975
0.779,56.5364,-66.0141
0.78,-71.546,289.633
0.781,59.2005,131.897
0.782,-72.8639,2.97208
0.783,52.4551,-132.05
0.784,103.36,55.3682
0.785,51.2626,-5.75962
0.786,90.0519,-128.084
0.787,-111.66,-2.41175
0.788,21.0035,-30.3767
0.789,25.188,-21.8367
0.79,-31.917,-70.8213
0.791,-125.245,5.35509
0.792,13.1827,59.8025
0.793,-95.0634,-22.158
0.794,-90.965,20.1534
0.795,70.104,-9.13687
0.796,-30.1883,14.2028
0.797,-163.605,-111.285
0.798,-3.19875,-32.4021
0.799,-27.465,-43.6628
0.8,-27.3445,151.26
0.801,93.1011,47.7019
0.802,-129.225,111.556
0.803,-61.9507,15.6428
0.804,67.7482,-78.4124
0.805,55.2312,48.3572
0.806,-219.93,-57.8797
0.807,17.0276,187.947
0.808,51.7544,-47.6997
0.809,-59.5541,47.4429
0.81,-53.3791,-0.720607
0.811,-4.58273,118.489
0.812,31.5505,84.5795
0.813,-36.5876,144.555
0.814,8.12182,54.6412
0.815,123.195,-94.9913
0.816,-77.5857,31.102
0.817,98.0744,72.1885
0.818,-43.3936,-34.4134
0.819,-3.86206,-96.0864
0.82,-109.753,-52.349
0.821,-79.8886,189.568
0.822,-122.132,70.0731
0.823,20.9278,8.59236
0.824,-13.9764,-16.9263
0.825,-33.7234,185.289
0.826,-103.486,-84.3716
0.827,-55.1879,-51.0542
0.828,-72.2,64.406
0.829,-58.9775,100.978
0.83,138.111,-45.4983
0.831,-19.459,-119.282
0.832,1.77585,35.1287
0.833,79.7035,-89.6712
0.834,-19.7571,-70.1714
0.835,-83.5582,218.929
0.836,2.23156,91.7481
0.837,-19.9403,44.2442
0.838,-13.8897,47.1338
0.839,132.644,-59.1931
0.84,64.991,94.7063
0.841,-57.502,146.143
0.842,-60.7525,104.984
0.843,13.6664,118.034
0.844,-48.5131,-39.0922
0.845,-84.2291,66.5385
0.846,145.261,-73.8948
0.847,-36.8631,221.214
0.848,34.5821,59.9114
0.849,18.7146,-24.3932
0.85,-122.536,41.8844
0.851,-55.8715,-15.494
0.852,-61.3524,117.632
0.853,-73.5446,71.7262
0.854,-131.578,186.551
0.855,-61.8358,-2.77916
0.856,73.6344,105.203
0.857,-83.4941,-130.105
0.858,-35.7804,78.6069
0.859,-66.7778,109.082
0.86,15.0485,40.6191
0.861,-160.504,84.7954
0.862,-8.57472,-35.6762
0.863,-14.5481,60.5365
0.864,8.95372,45.4686
0.865,73.5981,-79.1864
0.866,189.225,-24.4479
0.867,-63.6008,26.558
0.868,181.089,128.155
0.869,48.7043,-13.6205
0.87,59.3195,17.9287
0.871,23.7404,98.8385
0.872,36.3017,99.7045
0.873,-54.5033,-75.164
0.874,83.8246,-23.6195
0.875,-20.6311,63.3033
0.876,121.539,-27.0677
0.877,-15.969,105.83
0.878,-24.3661,-146.208
0.879,-70.2168,37.2902
0.88,-104.699,-117.927
0.881,22.7059,-104.024
0.882,-38.7922,129.239
0.883,99.0758,-43.0188
0.884,-21.3632,-32.9155
0.885,-20.294,-41.2423
0.886,-177.448,171.989
0.887,140.171,115.893
0.888,-96.477,-39.1945
0.889,-73.0763,68.8242
0.89,-17.2248,8.67272
0.891,165.211,-28.6585
0.892,20.7834,-28.3164
0.893,-76.5573,-46.5124
0.894,-69.0358,73.803
0.895,-31.4199,58.1202
0.896,224.02,222.521
0.897,33.8774,67.0911
0.898,-15.2278,123.089
0.899,4.93165,-20.6191
0.9,77.7759,48.9597
0.901,37.8219,9.39654
0.902,31.6044,-25.0647
0.903,61.7104,-51.1266
0.904,-125.802,195.974
0.905,-31.9027,147.741
0.906,-3.84095,-5.54608
0.907,15.1379,144.113
0.908,-15.8211,25.1514
0.909,-115.235,-30.8473
0.91,-77.27,-20.9872
0.911,71.0011,30.3035
0.912,-55.1521,56.7862
0.913,157.092,85.4866
0.914,-2.06692,6.61096
0.915,-111.418,-32.3339
0.916,-89.854,-20.7339
