# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.444,3.33078e-05,0.000246644
0.445,1.92125e-05,0.000304564
0.446,7.79716e-05,0.000186189
0.447,1.1632e-05,0.00018623
0.448,8.07071e-05,0.000172219
0.449,-4.67447e-05,0.00011645
0.45,0.00011955,0.000203331
0.451,6.56032e-05,0.000224399
0.452,8.49269e-05,0.000238195
0.453,5.28314e-05,0.00018722
0.454,1.48783e-05,0.000154587
0.455,2.2461e-05,0.000272079
0.456,1.09938e-05,0.000214061
0.457,8.0071e-05,0.000125743
0.458,1.43398e-05,0.000305039
0.459,8.11563e-05,0.000176427
0.46,4.47593e-05,0.000142616
0.461,4.71344e-05,0.000281884
0.462,1.53126e-05,0.000155174
0.463,3.82059e-05,0.000218806
0.464,0.000108798,7.68071e-05
0.465,7.11734e-05,0.000111535
0.466,0.000146948,0.00023191
0.467,3.51008e-06,0.000220402
0.468,0.000108943,0.000119958
0.469,-2.82428e-05,0.000194627
0.47,0.00011018,0.000169713
0.471,5.83512e-05,0.000123308
0.472,3.87033e-05,0.000274381
0.473,0.000128288,0.000144784
0.474,0.000177456,0.000101796
0.475,7.87917e-05,0.000135862
0.476,0.000129805,0.000154844
0.477,0.000173613,0.000207081
0.478,0.000275731,0.000115135
0.479,0.000106308,5.29441e-05
0.48,4.04812e-05,0.000192736
0.481,2.07935e-05,0.000121197
0.482,4.63497e-05,6.62231e-05
0.483,2.14608e-05,7.6391e-05
0.484,8.01186e-05,6.27333e-05
0.485,7.95762e-05,8.30382e-05
0.486,7.95332e-05,9.41017e-05
0.487,5.03115e-05,0.000142248
0.488,0.000133371,0.000154167
0.489,0.000178795,0.000190338
0.49,3.63138e-05,7.6412e-05
0.491,0.000140741,-1.19131e-05
0.492,-3.14017e-07,0.000106945
0.493,7.94181e-05,0.000157302
0.494,6.52275e-05,0.000108918
0.495,0.000127512,6.62472e-05
0.496,3.80689e-05,0.000111498
0.497,9.78438e-05,0.000107777
0.498,0.00011676,0.000103826
0.499,0.000102033,8.02935e-05
0.5,0.000114036,1.81836e-06
0.501,0.000108147,3.24292e-05
0.502,8.69903e-05,0.000165314
0.503,0.000127503,-6.59948e-06
0.504,0.000110166,6.88733e-05
0.505,0.000168356,4.7345e-07
0.506,0.00010345,0.000115269
0.507,0.000116025,3.00795e-06
