# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.574,2.24734,-1.06524
0.575,2.21132,-1.08534
0.576,2.21529,-1.05485
0.577,2.22224,-1.10113
0.578,2.19687,-1.08871
0.579,2.17462,-1.10104
0.58,2.20437,-1.09402
0.581,2.1675,-1.06198
0.582,2.1449,-1.03931
0.583,2.16529,-1.07287
0.584,2.16944,-1.03049
0.585,2.13853,-1.03681
0.586,2.11178,-1.04655
0.587,2.12371,-1.0401
0.588,2.09137,-1.06045
0.589,2.1225,-1.04835
0.59,2.11084,-1.05973
0.591,2.08318,-1.01286
0.592,2.0808,-1.03078
0.593,2.08115,-1.02782
0.594,2.05438,-1.03365
0.595,2.06258,-0.999284
0.596,2.06746,-1.03001
0.597,2.06038,-1.00727
0.598,2.0166,-0.993182
0.599,2.05614,-0.9927
0.6,2.0174,-0.999096
0.601,2.00595,-0.994234
0.602,2.0157,-0.993438
0.603,2.01293,-0.983598
0.604,2.01984,-0.984343
0.605,2.00081,-0.959866
0.606,1.99799,-0.977688
0.607,2.02543,-0.964202
0.608,2.00076,-0.94797
0.609,1.98429,-0.970772
0.61,1.99057,-0.93151
0.611,1.9754,-0.953985
0.612,1.97825,-0.954504
0.613,1.95991,-0.947925
0.614,1.9844,-0.949835
0.615,1.95964,-0.944355
0.616,1.95695,-0.949795
0.617,1.92664,-0.938626
0.618,1.94235,-0.935041
0.619,1.92214,-0.943146
0.62,1.96202,-0.914752
0.621,1.91009,-0.925035
0.622,1.96283,-0.950744
0.623,1.903,-0.902729
0.624,1.94285,-0.90479
0.625,1.90723,-0.906704
0.626,1.93059,-0.910582
0.627,1.91975,-0.903296
0.628,1.91917,-0.886223
0.629,1.91678,-0.892079
0.63,1.92408,-0.865014
0.631,1.87414,-0.847775
0.632,1.89496,-0.910682
0.633,1.91008,-0.868187
0.634,1.87917,-0.863171
0.635,1.88018,-0.880095
0.636,1.88057,-0.867009
0.637,1.87863,-0.889744
0.638,1.8889,-0.856315
0.639,1.85666,-0.845432
0.64,1.86433,-0.84437
0.641,1.87829,-0.864616
0.642,1.8688,-0.889055
0.643,1.86302,-0.818752
0.644,1.85861,-0.8517
0.645,1.87273,-0.842861
0.646,1.83593,-0.814803
0.647,1.85583,-0.826108
0.648,1.84307,-0.824678
0.649,1.8474,-0.816413
0.65,1.8441,-0.803946
0.651,1.85534,-0.81357
0.652,1.84873,-0.803683
0.653,1.83848,-0.80618
0.654,1.83765,-0.791896
0.655,1.84538,-0.795946
0.656,1.844,-0.79563
0.657,1.81919,-0.780567
0.658,1.84828,-0.788899
0.659,1.83777,-0.785349
0.66,1.83857,-0.776787
0.661,1.83076,-0.784304
0.662,1.83188,-0.781892
0.663,1.80576,-0.745929
0.664,1.84646,-0.775418
0.665,1.82158,-0.759485
0.666,1.82253,-0.757335
0.667,1.82408,-0.75077
0.668,1.81013,-0.769641
0.669,1.82261,-0.765422
0.67,1.80628,-0.745719
0.671,1.82683,-0.754381
0.672,1.81256,-0.739078
0.673,1.79308,-0.734481
0.674,1.79285,-0.742815
0.675,1.80467,-0.739702
0.676,1.8097,-0.739399
0.677,1.80544,-0.710176
0.678,1.80473,-0.706346
0.679,1.78939,-0.745118
0.68,1.79822,-0.717576
0.681,1.78806,-0.735094
0.682,1.79995,-0.72453
0.683,1.8085,-0.711463
0.684,1.78906,-0.710558
0.685,1.79908,-0.693771
0.686,1.78017,-0.706602
0.687,1.79563,-0.698658
0.688,1.7978,-0.690277
0.689,1.78932,-0.699782
0.69,1.80485,-0.724978
0.691,1.78014,-0.701391
0.692,1.76465,-0.695962
0.693,1.80712,-0.699384
0.694,1.78554,-0.694161
0.695,1.759,-0.712788
0.696,1.78679,-0.676883
0.697,1.77099,-0.679097
0.698,1.79353,-0.691355
0.699,1.77145,-0.676701
0.7,1.78617,-0.666601
0.701,1.77714,-0.681249
0.702,1.76263,-0.681499
0.703,1.77219,-0.679964
0.704,1.77759,-0.661784
0.705,1.78339,-0.656926
0.706,1.78412,-0.661563
0.707,1.76946,-0.669069
0.708,1.7628,-0.659781
0.709,1.77604,-0.65756
0.71,1.79747,-0.622317
0.711,1.77399,-0.656649
0.712,1.75626,-0.66201
0.713,1.74603,-0.649691
0.714,1.76479,-0.656681
0.715,1.776,-0.629988
0.716,1.78025,-0.633236
0.717,1.76584,-0.632347
0.718,1.78098,-0.620629
0.719,1.75276,-0.632751
0.72,1.77877,-0.664032
0.721,1.79775,-0.625252
0.722,1.7546,-0.624231
0.723,1.76259,-0.6133
0.724,1.77889,-0.637836
0.725,1.77986,-0.636455
0.726,1.75534,-0.616092
0.727,1.77565,-0.622551
0.728,1.76063,-0.617354
0.729,1.75665,-0.619889
0.73,1.77973,-0.631125
0.731,1.78295,-0.638187
0.732,1.75996,-0.627152
0.733,1.74511,-0.611148
0.734,1.76661,-0.606053
0.735,1.76476,-0.585113
0.736,1.77005,-0.603502
0.737,1.75815,-0.600544
0.738,1.74892,-0.583429
0.739,1.76973,-0.600205
0.74,1.77065,-0.601191
0.741,1.76127,-0.592354
0.742,1.78504,-0.591943
0.743,1.75579,-0.629357
0.744,1.76522,-0.591949
0.745,1.76507,-0.57792
0.746,1.76205,-0.607244
0.747,1.78079,-0.578356
0.748,1.76829,-0.565349
0.749,1.76432,-0.590067
0.75,1.76302,-0.586546
0.751,1.76534,-0.582334
0.752,1.77004,-0.579533
0.753,1.76386,-0.583555
0.754,1.76418,-0.569269
0.755,1.76398,-0.590194
0.756,1.78292,-0.573895
0.757,1.76706,-0.575785
0.758,1.7564,-0.579213
0.759,1.78011,-0.59376
0.76,1.77714,-0.573405
0.761,1.7656,-0.582123
0.762,1.78513,-0.595355
0.763,1.79627,-0.568069
0.764,1.77581,-0.557053
0.765,1.77474,-0.578438
0.766,1.76633,-0.582788
0.767,1.78218,-0.554503
0.768,1.75975,-0.551896
0.769,1.75829,-0.540145
0.77,1.77896,-0.561928
0.771,1.77994,-0.563085
0.772,1.7818,-0.562235
0.773,1.78521,-0.576152
0.774,1.79338,-0.521222
0.775,1.78322,-0.536988
0.776,1.78655,-0.573709
0.777,1.80066,-0.550918
0.778,1.78441,-0.568323
0.779,1.78686,-0.556463
0.78,1.7687,-0.538681
0.781,1.78746,-0.553313
0.782,1.81038,-0.558782
0.783,1.79555,-0.553952
0.784,1.78197,-0.536551
0.785,1.78846,-0.554313
0.786,1.77882,-0.552671
0.787,1.79132,-0.561358
0.788,1.77821,-0.529546
0.789,1.77548,-0.546879
0.79,1.78811,-0.563966
0.791,1.78502,-0.537808
0.792,1.78938,-0.526385
0.793,1.79797,-0.562192
0.794,1.79284,-0.539994
0.795,1.78808,-0.529382
0.796,1.79203,-0.565923
0.797,1.79746,-0.5588
0.798,1.78199,-0.537315
0.799,1.80245,-0.560739
0.8,1.78936,-0.521945
0.801,1.8121,-0.54003
0.802,1.79173,-0.537565
0.803,1.818,-0.534431
0.804,1.8104,-0.529032
0.805,1.79792,-0.532842
0.806,1.79652,-0.528769
0.807,1.78811,-0.53665
0.808,1.83315,-0.522699
0.809,1.80053,-0.543499
0.81,1.80629,-0.52134
0.811,1.82731,-0.533669
0.812,1.78995,-0.528442
0.813,1.82488,-0.525689
0.814,1.80383,-0.529422
0.815,1.81904,-0.524655
0.816,1.79675,-0.505051
0.817,1.83124,-0.516989
0.818,1.78476,-0.519205
0.819,1.82376,-0.522247
0.82,1.82366,-0.535336
0.821,1.81999,-0.498911
0.822,1.81661,-0.505488
0.823,1.82834,-0.514741
0.824,1.81808,-0.52283
0.825,1.81656,-0.537767
0.826,1.82209,-0.528002
0.827,1.80385,-0.534118
0.828,1.81686,-0.526786
0.829,1.83088,-0.515089
0.83,1.85314,-0.536556
0.831,1.84294,-0.531108
0.832,1.81964,-0.518053
0.833,1.84008,-0.51415
0.834,1.8178,-0.536654
0.835,1.81816,-0.53972
0.836,1.81766,-0.519572
0.837,1.83221,-0.517609
0.838,1.84499,-0.533908
0.839,1.82614,-0.517481
0.84,1.83259,-0.517731
0.841,1.81389,-0.543667
0.842,1.81813,-0.514119
0.843,1.82696,-0.529757
0.844,1.83877,-0.518393
0.845,1.82963,-0.553932
0.846,1.81549,-0.544577
0.847,1.8073,-0.515926
0.848,1.84771,-0.526045
0.849,1.83124,-0.533929
0.85,1.82215,-0.564387
0.851,1.85288,-0.514315
0.852,1.82247,-0.535339
0.853,1.84157,-0.541896
0.854,1.83546,-0.534548
0.855,1.85314,-0.547698
0.856,1.86272,-0.530479
0.857,1.8526,-0.51503
0.858,1.8377,-0.525459
0.859,1.84557,-0.531636
0.86,1.83794,-0.534942
0.861,1.85153,-0.52939
0.862,1.86578,-0.520365
0.863,1.85389,-0.550694
0.864,1.84018,-0.545547
0.865,1.86584,-0.526519
0.866,1.87395,-0.548401
0.867,1.85806,-0.524463
0.868,1.84849,-0.532837
0.869,1.85572,-0.5306
0.87,1.86933,-0.510651
0.871,1.83311,-0.528876
0.872,1.87216,-0.549235
0.873,1.85816,-0.528769
0.874,1.8444,-0.552414
0.875,1.8448,-0.542325
0.876,1.85428,-0.539508
0.877,1.8597,-0.547274
0.878,1.86192,-0.540905
0.879,1.8573,-0.513464
0.88,1.85312,-0.529866
0.881,1.85688,-0.537008
0.882,1.86498,-0.541709
0.883,1.84217,-0.547918
0.884,1.86201,-0.544371
0.885,1.86835,-0.541886
0.886,1.83305,-0.548696
0.887,1.85547,-0.556136
0.888,1.85104,-0.566335
0.889,1.85877,-0.571466
0.89,1.84594,-0.580825
0.891,1.85777,-0.554824
0.892,1.87276,-0.575888
0.893,1.86287,-0.553224
0.894,1.87152,-0.558117
0.895,1.87401,-0.548744
0.896,1.84593,-0.57439
0.897,1.87609,-0.568718
0.898,1.88301,-0.560549
0.899,1.87084,-0.547549
0.9,1.86428,-0.544496
0.901,1.86577,-0.551758
0.902,1.86516,-0.581198
0.903,1.87999,-0.548318
0.904,1.87599,-0.568673
0.905,1.8845,-0.567407
0.906,1.88068,-0.553598
0.907,1.88169,-0.557106
0.908,1.8568,-0.558349
0.909,1.88036,-0.574751
0.91,1.84556,-0.592213
0.911,1.87584,-0.588895
0.912,1.85414,-0.546084
0.913,1.88078,-0.575401
0.914,1.85544,-0.565216
0.915,1.87672,-0.583958
0.916,1.87052,-0.593479
0.917,1.87164,-0.595971
0.918,1.8765,-0.566616
